T,K(cr),K(L),KOH(a),KOH(b),KOH(L),K2O2(s),K2O(s),KO2(s),H2O(s),H2O(L),Electron,H,H+,H-,HO2,H2,H2+,H2-,H2O,H2O+,H2O2,H3O+,K,K+,KH,KO,KO-,KOH,KOH+,K2,K2O2H2,O,O+,O-,OH,OH+,OH-,O2,O2+,O2-,O3
8000,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.00043523852003680237,1.8687924231336204,0.00043380244748806505,1.6304425870323112e-05,0.0,0.06536074024341545,1.7867625657251397e-05,1.2712723819082984e-07,0.0,0.0,0.0,0.0,4.202436285353957e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202436285353957e-300,0.0,0.0,0.0
8100,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0005011059516894158,1.8785193747173292,0.0004996947146830933,1.8000996243708907e-05,0.0,0.06046177837311751,1.954932290236998e-05,1.3708965233855282e-07,0.0,0.0,0.0,0.0,4.2132149213675273e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2132149213675273e-300,0.0,0.0,0.0
8200,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0005749246037859957,1.8873517405758198,0.0005735560949299985,1.981334647578072e-05,0.0,0.05600596836783429,2.132923934224878e-05,1.4738401047090604e-07,0.0,0.0,0.0,0.0,4.223048201453916e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.223048201453916e-300,0.0,0.0,0.0
8300,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0006574091105458216,1.895376972526504,0.0006561029536191351,2.174487698329728e-05,0.0,0.05194922280285036,2.3209026153483507e-05,1.5799224349988677e-07,0.0,0.0,0.0,0.0,4.232033420412921e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.232033420412921e-300,0.0,0.0,0.0
8400,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0007493148654884706,1.9026736030523181,0.0007480924771758948,2.3798864109205012e-05,0.0,0.04825189376255043,2.519014643482115e-05,1.6889401304044527e-07,0.0,0.0,0.0,0.0,4.2402583205243756e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2402583205243756e-300,0.0,0.0,0.0
8500,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0008514386514045055,1.9093120306195612,0.0008503233028133199,2.5978450903810726e-05,0.0,0.04487837988042305,2.7273866116509047e-05,1.800666215133757e-07,0.0,0.0,0.0,0.0,4.2478019463425256e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2478019463425256e-300,0.0,0.0,0.0
8600,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0009646191921209594,1.915355275270857,0.0009636360695334928,2.8286638417646537e-05,0.0,0.04179674827949899,2.946124595113818e-05,1.9148494602522577e-07,0.0,0.0,0.0,0.0,4.254735466958239e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.254735466958239e-300,0.0,0.0,0.0
8700,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0010897376261617643,1.9208596922104042,0.0010889138904113587,3.072627753669085e-05,0.0,0.038978377554598015,3.1753134656587115e-05,2.0312136949114986e-07,0.0,0.0,0.0,0.0,4.2611229523918645e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2611229523918645e-300,0.0,0.0,0.0
8800,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0012277179016944885,1.925875636155561,0.0012270827455567771,3.3300061373096834e-05,0.0,0.03639762540953342,3.41501632659031e-05,2.149457550947253e-07,0.0,0.0,0.0,0.0,4.2670220962682667e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2670220962682667e-300,0.0,0.0,0.0
8900,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0013795270936303996,1.9304480733127103,0.0013791117965329706,3.601051821853517e-05,0.0,0.034031522519929205,3.6652740727616547e-05,2.269254116522327e-07,0.0,0.0,0.0,0.0,4.272484881364964e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.272484881364964e-300,0.0,0.0,0.0
9000,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0015461756428170508,1.9346171402274335,0.001546013622186822,3.8860005054327356e-05,0.0,0.03185949299658467,3.926105078136452e-05,2.3902509680849924e-07,0.0,0.0,0.0,0.0,4.277558187218788e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.277558187218788e-300,0.0,0.0,0.0
9100,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0017287175187029593,1.9384186508982273,0.00172884437724246,4.185070162183668e-05,0.0,0.029863100754095876,4.197505012034385e-05,2.512070380078154e-07,0.0,0.0,0.0,0.0,4.28228434130404e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28228434130404e-300,0.0,0.0,0.0
9200,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0019282503068076494,1.941884554459002,0.0019287038749197867,4.4984605008399595e-05,0.0,0.028025820631481367,4.4794467874817365e-05,2.634309785549306e-07,0.0,0.0,0.0,0.0,4.286701616289609e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.286701616289609e-300,0.0,0.0,0.0
9300,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.002145915221312296,1.9450433465918986,0.0021467355940021794,4.8263524791581924e-05,0.0,0.02633283268384776,4.771880635402075e-05,2.7565425232181675e-07,0.0,0.0,0.0,0.0,4.290844676809189e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290844676809189e-300,0.0,0.0,0.0
9400,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0023828970456733836,1.94792043814517,0.0023841266130865727,5.1689078646115004e-05,0.0,0.02477083790635728,5.074734311213512e-05,2.878318792086085e-07,0.0,0.0,0.0,0.0,4.294744979526921e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.294744979526921e-300,0.0,0.0,0.0
9500,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0026404240028834835,1.9505384845955318,0.002642107473816237,5.526268847030493e-05,0.0,0.02332789356994733,5.3879134240616565e-05,2.9991670306511794e-07,0.0,0.0,0.0,0.0,4.2984311304559227e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2984311304559227e-300,0.0,0.0,0.0
9600,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.002919767556351945,1.9529176799748365,0.0029219519739113247,5.898557694439652e-05,0.0,0.021993266358486797,5.711301892613061e-05,3.118595411127204e-07,0.0,0.0,0.0,0.0,4.301929203463275e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.301929203463275e-300,0.0,0.0,0.0
9700,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.003222242143779409,1.955076018613345,0.0032249768925406456,6.285876454885007e-05,0.0,0.020757301630005054,6.04476251827791e-05,3.236093951647133e-07,0.0,0.0,0.0,0.0,4.3052630236095624e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3052630236095624e-300,0.0,0.0,0.0
9800,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.003549204848652673,1.957029528151511,0.0035525416525086484,6.688306697161446e-05,0.0,0.01961130707386963,6.388137677537265e-05,3.351136597332706e-07,0.0,0.0,0.0,0.0,4.308454419086113e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.308454419086113e-300,0.0,0.0,0.0
9900,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.003902055007623215,1.958792476689198,0.003906047917770325,7.105909295762026e-05,0.0,0.018547449330238854,6.741250120443453e-05,3.463183939232269e-07,0.0,0.0,0.0,0.0,4.311523444859889e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.311523444859889e-300,0.0,0.0,0.0
10000,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.004282233759352842,1.9603775569525146,0.004286939131603335,7.5387242457779e-05,0.0,0.01755866212907853,7.103903882036825e-05,3.5716861308065444e-07,0.0,0.0,0.0,0.0,4.314488581171292e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.314488581171292e-300,0.0,0.0,0.0
10100,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.004691223536528541,1.9617960499660576,0.004696699997493787,7.986770521027029e-05,0.0,0.016638564703935814,7.475885286425142e-05,3.6760861922697446e-07,0.0,0.0,0.0,0.0,4.317366909592354e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.317366909592354e-300,0.0,0.0,0.0
10200,9.999999999999999e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.005130547502526203,1.9630579705701603,0.0051368559039259,8.450045956630223e-05,0.0,0.015781389310092833,7.856964052383349e-05,3.7758235722774085e-07,0.0,0.0,0.0,0.0,4.320174269190126e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.320174269190126e-300,0.0,0.0,0.0
